Traditional,Simplified,Pinyin,Meaning
一,一,yī,det.: one
在,在,zài,"in, at, on, etc."
有,有,yǒu,"have, possess"
個,个,ge,"piece, item"
我,我,wǒ,"I, me, ego, self"
不,不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix"
這,这,zhè,"now, this, det.: this, it"
了,了,le,entirely
他,他,tā,"he, she, it, they (referring to inanimate things in object position)"
也,也,yě,"also, too, as well, either, even"
就,就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation"
人,人,rén,"person, people"
都,都,dōu,"all, even, already"
說,说,shuō,"speak, talk, explain, scold"
而,而,ér,conj.: and yet
我們,我们,wǒmen,we
你,你,nǐ,you
了,了,le,particle: indicating new situation; indicating completed action
要,要,yào,"want, need, must, should"
會,会,huì,"to be able, can, will, to meet"
對,对,duì,"correct, true, toward"
及,及,jí,"to reach, to catch up, and"
和,和,hé,"and, with, gentle, peaceful"
與,与,yǔ,"and, together with, to give"
以,以,yǐ,"using, taking, from a point on, because of"
很,很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
種,种,zhǒng,m.[kind]
的,的,de,particle: emphasizing an action/situation
大,大,dà,"great, macro, old, very, vast, tall, big, high, much"
能,能,néng,can or to be capable of
著,着,zhe,[aspect]
她,她,tā,"she, her, she (neologism for {1ta1}[2]), )"
那,那,nà,det.: that
上,上,shàng,"on, above"
但,但,dàn,"conj.: but, yet, still, nevertheless, only, merely"
年,年,nián,year
還,还,hái,"still, yet, also, too, as well, besides"
可以,可以,kěyǐ,"can, may"
最,最,zuì,"most, to the highest degree, much, superlatively"
自己,自己,zìjǐ,"lonesome, number_one, own, ego, self, oneself, name"
為,为,wéi,by
來,来,lái,to
所,所,suǒ,that which
他們,他们,tāmen,they
兩,两,liǎng,"det.: two, both (sides), either (side), a few, some"
各,各,gè,"det.: each, every"
可,可,kě,"can, may"
為,为,wéi,"be, become"
或,或,huò,"conj.: or, either or"
好,好,hǎo,good
等,等,děng,"conj.: and so on, etc"
又,又,yòu,"again, moreover"
將,将,jiāng,be about to
因為,因为,yīnwèi,"conj.: because, for, on account of"
於,于,yū,"in, at, to, from, out of, by"
由,由,yóu,"from, via, by, through, owing/due to"
從,从,cóng,"from, since, through"
